Source_Name,Xray_Index,FX,FG,PL_Index,PLEC_SigCurv,Variability_Index,finalV,Class
4FGL J1625.7-2527,1.559,1.836E-12,5.293107E-11,2.3437128,8.432622,1320.7769,21.6,bzr
4FGL J1626.0-2950,1.419,3.527E-12,4.2332672E-11,2.5494134,4.4527974,376.02747,21.5,bzr
4FGL J1626.6-7639,2.452,6.72E-13,4.4079033E-12,2.1032803,0.5368084,18.582129,18.305,bzr
4FGL J1630.7+5221,2.667,4.995E-13,1.20765325E-11,2.0377173,2.995903,15.649286,19.017,bzr
4FGL J1635.2+3808,1.499,6.197E-12,1.6500715E-10,2.4068053,20.497892,4745.3525,18.97,bzr
4FGL J1637.7+4717,1.759,2.036E-12,1.624039E-11,2.4105544,3.7234535,540.71466,18.995,bzr
4FGL J1638.1+5721,1.795,3.157E-12,5.3041165E-12,2.6423185,1.4130919,51.507896,18.0,bzr
4FGL J1640.4+3945,1.517,7.591E-13,3.002816E-11,2.3957953,2.935356,340.6408,17.5,bzr
4FGL J1640.9+1143,2.944,6.485E-13,3.678703E-12,2.2806833,0.06865236,8.758436,17.523,bzr
4FGL J1642.9+3948,1.637,6.513E-12,2.7863309E-11,2.3822086,1.4368248,169.02411,17.59,bzr
4FGL J1643.5-0646,2.033,2.742E-12,4.705028E-12,2.1103,0.114676595,29.08202,17.808,bzr
4FGL J1647.5+4950,1.531,4.886E-12,1.4912785E-11,2.3975687,0.6136163,91.74763,18.0,bzr
4FGL J1653.8+3945,1.978,1.441E-10,1.4538608E-10,1.7499679,2.9339688,292.85062,14.29,bzr
4FGL J1657.0+6010,1.883,4.065E-13,3.552566E-12,2.4534035,0.5076505,18.963907,20.0,bzr
4FGL J1700.0+6830,1.492,2.385E-12,3.114957E-11,2.373769,5.915512,710.66296,18.0,bzr
4FGL J1703.6-6213,1.516,1.573E-12,3.250717E-11,2.407457,7.2486067,398.45233,19.253,bzr
4FGL J1716.1+6836,1.222,9.017E-13,7.3880286E-12,2.3932266,1.1493658,79.95528,19.16,bzr
4FGL J1719.2+1745,1.778,1.435E-12,2.2033502E-11,2.0459259,5.7543607,1166.2653,20.1,bzr
4FGL J1725.0+1152,2.587,1.459E-11,3.9169817E-11,1.8588117,3.6139052,13.334752,16.77,bzr
4FGL J1727.4+4530,1.701,1.163E-12,2.5921267E-11,2.4849353,5.9659,527.5442,20.0,bzr
4FGL J1728.3+5013,2.125,4.397E-11,2.2093612E-11,1.7806304,1.6515207,164.27542,16.97,bzr
