Source_Name,XRT oldname,XRT updated name,UV name,Xray_Index,FX,FG,PL,SC,VI,V,FILTER,AB_MAG,AB_MAG_real,GLON,GLAT
4FGL J1034.7-4645,SwFS1 J103438.7-464404,SwXF4 J103438.7-464405,SwUVF4 J103438.7-464405,2.03489,3.27265330575372E-12,1.852857E-12,2.125096,0.5195869,9.922329,21.314,w1,22.01,22.01,279.9387,9.928071
4FGL J1047.2+6740,SwFS1 J104705.6+673805,SwXF4 J104705.6+673806,SwUVF4 J104705.6+673806,2.01751,4.621681360922442E-13,9.284302E-13,1.9606525,0.5296021,17.728653,21.344,w1,22.04,>22.04,139.11755,45.355637
4FGL J1048.4-5030,SwFS1 J104824.2-502941,SwXF4 J104824.2-502941,SwUVF4 J104824.2-502941,3.02068,2.9977816715823875E-13,1.4920411E-12,1.6639758,1.2662772,5.9122186,18.928,bb,19.15,19.15,283.77615,7.726619
4FGL J1049.8+2741,SwFS1 J104938.8+274217,SwXF4 J104938.8+274217,SwUVF4 J104938.8+274213,2.59782,3.442706503894436E-13,1.7029378E-12,1.9965559,0.6520733,11.340181,18.648,bb,18.87,18.8700008392334,204.64984,63.07313
4FGL J1058.4-6625,SwFS1 J105833.1-662607,SwXF4 J105833.1-662607,SwUVF4 J105833.1-662607,1.77319,8.220533433757716E-13,4.655332E-12,1.9265342,1.759437,8.912971,21.382,uu,21.8,>21.80,291.96155,-5.994655
4FGL J1106.7+3623,SwFS1 J110636.7+362648,SwXF4 J110636.7+362648,SwUVF4 J110636.5+362650,1.06154,3.1462990561619905E-13,2.215875E-12,2.787654,0.6087264,30.295359,19.312,uu,19.73,19.729999542236328,183.69153,65.99282
4FGL J1111.4+0137,SwFS1 J111114.2+013430,SwXF4 J111114.2+013431,SwUVF4 J111114.2+013431,1.91605,2.176205983185727E-12,1.6687976E-12,2.283623,0.29299694,2.7528803,20.512,uu,20.93,20.93,255.47101,55.00294
4FGL J1114.6+1225,SwFS1 J111436.7+122718,SwXF4 J111436.7+122718,SwUVF4 J111436.7+122718,2.54182,2.2803420720004207E-13,1.648487E-12,2.296968,2.1962276,6.5527387,21.062,uu,21.48,>21.48,241.15257,62.982784
4FGL J1119.9-1007,SwFS1 J111948.2-100704,SwXF4 J111948.2-100704,SwUVF4 J111948.4-100707,1.88398,4.1734959846531693E-13,2.0301347E-12,2.1874707,1.8276588,18.563337,19.522,uu,19.94,19.940000534057617,269.06296,46.638348
4FGL J1120.0-2204,SwFS1 J111959.2-220456,SwXF4 J111959.2-220456,SwUVF4 J111959.2-220456,1.85858,7.764258747121103E-14,1.631286E-11,2.1728075,14.26362,5.241279,19.992,vv,20.01,20.01,276.49228,36.05591
4FGL J1122.0-0231,SwFS1 J112213.8-022916,SwXF4 J112213.8-022916,SwUVF4 J112213.7-022914,2.40925,1.0050785394907375E-12,2.555289E-12,2.441371,1.5968504,4.7535596,18.722,uu,19.14,19.139999389648438,263.40033,53.34739
4FGL J1123.8-4552,SwFS1 J112355.5-455019,SwXF4 J112355.5-455019,SwUVF4 J112355.5-455019,1.2053,5.213147344399814E-13,4.5582357E-12,2.210231,0.80883056,8.2892475,19.014,w1,19.71,19.71,287.38257,14.338709
4FGL J1126.0-5007,SwFS1 J112624.9-500807,SwXF4 J112624.9-500808,SwUVF4 J112624.9-500808,1.66544,1.4537843856076606E-12,1.4953159E-12,2.131738,4.5760064,5.9815917,18.292,vv,18.31,18.31,289.20303,10.462621
4FGL J1146.0-0638,SwFS1 J114600.8-063850,SwXF4 J114600.8-063851,SwUVF4 J114600.8-063851,2.13082,9.8878074362693E-13,3.445835E-12,1.7490185,1.4392067,5.10544,19.702,uu,20.12,20.12,275.43552,52.705055
4FGL J1146.0-0638,SwFS1 J114600.8-063850,SwXF4 J114600.8-063851,SwUVF4 J114600.9-063855,2.13082,9.8878074362693E-13,3.445835E-12,1.7490185,1.4392067,5.10544,19.482,uu,19.9,19.899999618530273,275.43552,52.705055
4FGL J1155.2-1111,SwFS1 J115514.7-111125,SwXF4 J115514.7-111125,SwUVF4 J115514.7-111125,1.80114,5.117996682024601E-13,1.7859461E-12,1.923659,1.42175,9.120256,21.142,uu,21.56,>21.56,281.51202,49.33286
